full_name,channel
Chris Boyette,cnn
Melanie Zanona Manu Raju,cnn
Brad Parks,cnn
Paul Vercammen,cnn
Deblina Chakraborty,cnn
Carlotta Dotto,cnn
Catherine E Shoichet,cnn
Nathan Hodge,cnn
Anjali Patel,cnn
Kristin Wilson Kit Maher,cnn
Kit Maher,cnn
Mike Brookbank,cnn
Mary Claire Patton,cnn
Liane Morejon,cnn
Alex Finnie,cnn
Jeff Zeleny,cnn
Larry Register,cnn
Sonia Moghe Alaa Elassar,cnn
Alaa Elassar,cnn
Brandon Tensley,cnn
Jim Sciutto,cnn
David A Andelman,cnn
Holmes Lybrand,cnn
Sara Stewart,cnn
Lauren Del Valle,cnn
Caroll Alvarado Alaa Elassar,cnn
Avery Lotz,cnn
Jean Casarez,cnn
Allison Hope,cnn
Daniela Gonzalez-Roman,cnn
Rodrigo Pedroso,cnn
Duarte Mendona,cnn
Patrick Oppmann,cnn
Madeline Holcombe Jalen Beckford,cnn
Megan Thomas,cnn
Steve Almasy Chuck Johnston,cnn
Ted Barrett Morgan Rimmer,cnn
Niamh Kennedy,cnn
Dan Berman,cnn
Celeste Noraian,cnn
Laura Ly Emily Chang,cnn
Amanda Musa,cnn
Jeremy Harlan,cnn
Andy Rose,cnn
Jeremy Herb Zachary Cohen,cnn
Polo Sandoval Kristina Sgueglia Melanie Schuman,cnn
Polo Sandoval,cnn
Kristina Sgueglia,cnn
Melanie Schuman,cnn
Andy Rose Aya Elamroussi,cnn
Seghal Kathleen Magramo,cnn
Akanksha Sharma,cnn
Kunal Seghal,cnn
Jomana Karadsheh,cnn
Taylor Romine,cnn
Ghazi Balkiz,cnn
David Mckenzie,cnn
Katy Milkman,cnn
Michele Fiore,cnn
Gerry May,cnn
Gloria Borger,cnn
Tina Burnside,cnn
Jason Perlow,cnn
Syra Madad,cnn
Kathryn Vasel,cnn
Melissa Holzberg Depalo,cnn
Paul Hockenos,cnn
Nadeen Ebrahim,cnn
Kevin Conlon,cnn
Stefano Pozzebon,cnn
Kristina Sgueglia Liam Reilly,cnn
Brynn Gingras,cnn
Rachel Metz Rishi Iyengar,cnn
Scott Allen,cnn
Eileen Buckley,cnn
Nick Harrington,cnn
Lauren Edwards,cnn
Jeff Hager,cnn
Bob Jones,cnn
Norman Eisen Dennis,cnn
Dennis Aftergut,cnn
Jessie Yeung Yoonjung Seo,cnn
Claire Colbert,cnn
Katie Bo Lillis,cnn
Elissa Strauss,cnn
Martin Goillandeau,cnn
Nicole Chavez,cnn
Ali Bauman,cnn
Kevin Dotson Sana Noor Haq,cnn
Kevin Dotson,cnn
Brandon Griggs,cnn
Leah Abucayan,cnn
Briasia Russ,cnn
Camila Fernandez,cnn
Gigova Gul Tuysuz Alex Stambaugh Jake Kwon,cnn
Gul Tuysuz,cnn
Alex Stambaugh,cnn
Jake Kwon,cnn
Julia Buckley,cnn
Carolyn Sung,cnn
Donald Judd Rebekah Riess Veronica Stracqualursi,cnn
Donald Judd,cnn
Samantha Beech,cnn
Sharif Paget,cnn
Nick Valencia,cnn
Ian Kerner,cnn
Cecilia Armstrong,cnn
Ed Morales,cnn
Afshar Zoe Sottile,cnn
Jessica Bumpus,cnn
Sam Woodward,cnn
Rosa Flores Emma Tucker,cnn
Cristiana Moisescu,cnn
Donald Judd Jasmine Wright,cnn
Jasmine Wright,cnn
Katie Lobosco Tierney Sneed,cnn
Katie Lobosco,cnn
Kari Barrows,cnn
Michelle Watson Devan Cole,cnn
Carlos Suarez,cnn
Jack Bantock,cnn
Junko Ogura Hira Humayun,cnn
Hira Humayun,cnn
Steve Forrest,cnn
Keith Allen,cnn
Sara Sidner,cnn
John Blake,cnn
Claudia Dominguez Hannah Sarisohn,cnn
Michelle Watson Zoe Sottile,cnn
Hira Humayun Karen Smith,cnn
Karen Smith,cnn
Christobel Hastings,cnn
Simon Ed Lavandera,cnn
Casey Tolan,cnn
Matthew Reynard,cnn
Helen Regan Rhea Mogul,cnn
Helen Regan,cnn
Tara Subramaniam,cnn
Rachel Fadem,cnn
Wayne Chang,cnn
Matias Grez,cnn
Masha Angelova Mitchell Mccluskey,cnn
Masha Angelova,cnn
Mitchell Mccluskey,cnn
Sana Noor Haq Louis Leeson,cnn
Louis Leeson,cnn
Stella Chan,cnn
Simone Pathe,cnn
Peter Nickeas Ray Sanchez,cnn
Ray Sanchez,cnn
Janie Boschma,cnn
Rene Rigdon,cnn
Byron Manley,cnn
Ethan Cohen,cnn
Molly Reed,cnn
Kevin Rincon,cnn
Brittany Whitehead,cnn
Pauleen Le,cnn
Sophia Saifi Rhea Mogul,cnn
Sophia Saifi,cnn
Rob Shackelford,cnn
Lauren Victory,cnn
Nathan Wolfson,cnn
Beth Braverman,cnn
Christine Romans,cnn
Stephanie Busari,cnn
